MASTER_SAMPLE_CD,SPECIES_CD,NUMBER_OF_INDIVIDUALS,AVERAGE_LENGTH,MIN_LENGTH,MAX_LENGTH,TIME_SEEN
A2021061513520066,HAE FLAV,1,18,,,1
A2021061513520066,HAL GARN,3,4,3,6,1
A2021061513520066,SPA AURO,1,22,,,3
A2021061511050458,CHA CAPI,4,8,8,8,1
A2021061511050458,HAL GARN,2,,12,12,1
A2021061511050458,HAL GARN,6,6,2,7,1
A2021061511050458,SPA AURO,1,10,,,1
A2021061513010458,HAL GARN,7,5,3,7,1
A2021061513010458,BAL VETU,1,32,,,2
A2021061515380458,LUT GRIS,5,30,28,35,1
A2021061515380458,SPA AURO,1,28,,,1
A2021061515380458,ABU SAXA,5,12,10,14,1
A2021061515380458,HAE FLAV,1,21,,,1
A2021061515380458,CHA CAPI,2,,8,8,1
A2021061412050372,BAL VETU,2,,28,34,1
A2021061412050372,EPI GUTT,1,30,,,2
A2021061412050372,SPA AURO,1,4,,,2
A2021061609230175,CHA CAPI,2,,9,10,1
A2021061609230175,SPA AURO,8,13,10,17,1
A2021061609230175,SPA AURO,15,5,3,7,1
A2021061609230175,HAL RADI,1,25,,,1
A2021061609230175,BAL VETU,2,,26,34,1
A2021061609230175,HAE FLAV,3,14,13,15,1
A2021061612090175,ABU SAXA,17,10,9,11,1
A2021061612090175,HAL GARN,3,11,10,12,1
A2021061612090175,HAL GARN,6,5,3,7,1
A2021061612090175,HYP PUEL,1,9,,,1
A2021061612090175,HAE FLAV,3,14,14,14,1
A2021061612090175,SPA AURO,1,20,,,1
A2021061612090175,SPA AURO,3,5,5,6,1
A2021061612090175,CHA CAPI,1,10,,,2
A2021061614580163,CHA CAPI,4,10,10,11,1
A2021061614580163,SPA AURO,1,15,,,1
A2021061614580163,HAL GARN,2,,3,3,1
A2021061614020175,SPA AURO,10,4,3,5,1
A2021061613010163,HAE FLAV,1,17,,,1
A2021061613010163,HAL GARN,12,3,3,4,1
A2021061613010163,HAL RADI,1,13,,,1
A2021061613010163,SPA AURO,3,15,15,16,1
A2021061613010163,BAL VETU,1,25,,,1
A2021061609410163,BAL VETU,1,27,,,1
A2021061609410163,SPA AURO,6,4,4,5,1
A2021061609410163,SPA AURO,1,12,,,1
A2021061609410163,HAL GARN,5,3,3,3,1
A2021061609410163,HAL GARN,2,,9,10,1
A2021061609410163,EPI GUTT,2,,7,28,3
A2021061611160163,BAL VETU,3,28,27,33,1
A2021061611160163,SPA AURO,6,3,3,3,1
A2021061611160163,SPA AURO,5,15,14,18,1
A2021061611160163,HAL GARN,1,10,,,1
A2021061611380367,HAL GARN,6,5,3,9,1
A2021061611380367,SPA AURO,4,7,5,13,1
A2021061611380367,HAE FLAV,1,13,,,2
A2021061611380367,BAL VETU,1,25,,,2
A2021061611380367,EPI GUTT,1,28,,,3
A2021061611380367,ANI VIRG,1,25,,,3
A2021061610220367,HAL GARN,10,5,3,8,1
A2021061610220367,SPA AURO,3,7,4,8,1
A2021061610220367,HAE FLAV,1,18,,,1
A2021061610220367,CHA CAPI,2,,7,8,2
A2021061612430367,SPA AURO,4,12,11,26,1
A2021061612430367,BAL VETU,2,,20,25,1
A2021061513020440,HAL GARN,6,10,4,16,1
A2021061513020440,SPA AURO,1,5,,,2
A2021061513020440,BAL VETU,1,30,,,2
A2021061609400469,BAL VETU,3,15,12,20,1
A2021061609400469,SPA AURO,11,12,10,16,1
A2021061609400469,EPI GUTT,1,12,,,1
A2021061812430388,HAE FLAV,4,17,15,19,1
A2021061812430388,HAL GARN,5,10,8,12,1
A2021061812430388,HAL GARN,3,6,4,7,1
A2021061812430388,SPA AURO,3,18,17,20,1
A2021061812430388,SPA AURO,4,5,3,6,1
A2021061812430388,SPA AURO,1,15,,,1
A2021061812430388,CHA CAPI,3,9,8,10,3
A2021061814290388,SPA AURO,1,9,,,1
A2021061814290388,SPA AURO,1,11,,,1
A2021061814290388,SPA AURO,21,6,5,7,1
A2021061814290388,HAL RADI,2,,17,18,1
A2021061814290388,CHA CAPI,2,,10,11,2
A2021061810500388,HAE FLAV,1,17,,,1
A2021061810500388,EPI GUTT,1,21,,,1
A2021061810500388,SPA AURO,6,18,15,23,1
A2021061810500388,HAL RADI,1,18,,,1
A2021061810500388,HAL GARN,12,5,4,6,1
A2021061810500388,HAL GARN,6,9,7,11,1
A2021061810500388,BAL VETU,1,20,,,1
A2021061810500388,BAL VETU,1,24,,,1
A2021061810500388,BAL VETU,1,25,,,1
A2021061810500388,CHA CAPI,2,,8,9,2
A2021061809130388,HAL GARN,7,5,3,6,1
A2021061809130388,SPA AURO,5,22,18,24,1
A2021061809130388,SPA AURO,4,4,3,5,1
A2021061712570440,SPA AURO,4,14,5,16,1
A2021061712570440,HAL GARN,5,9,8,15,1
A2021061712570440,BAL VETU,2,,25,25,1
A2021061712570440,HAL RADI,1,15,,,1
A2021061713370440,HAL RADI,2,,7,8,1
A2021061713370440,SPA AURO,5,10,5,25,1
A2021061713370440,HAL GARN,4,6,4,7,1
A2021061713370440,HAE FLAV,1,16,,,2
A2021061713370440,BAL VETU,1,20,,,3
A2021061811060363,HAL GARN,20,5,3,11,1
A2021061811060363,HAE FLAV,3,15,13,16,1
A2021061811060363,ABU SAXA,3,12,11,12,1
A2021061811060363,EPI GUTT,1,32,,,3
A2021061811060363,CHA CAPI,2,,7,7,3
A2021061811060363,SPA AURO,3,5,3,5,1
A2021061811060363,SPA AURO,1,22,,,1
A2021061809330363,HAL GARN,10,5,4,8,1
A2021061809330363,BAL VETU,11,27,23,32,1
A2021061809330363,SPA AURO,1,18,,,1
A2021061711030440,SPA AURO,5,16,2,20,1
A2021061711030440,BAL VETU,3,30,18,30,1
A2021061711030440,HAL GARN,1,3,,,1
A2021061711030440,EPI GUTT,1,27,,,1
A2021061711030440,CHA CAPI,2,,13,13,1
A2021062210030175,HAL GARN,6,10,8,13,1
A2021062210030175,HAL GARN,5,5,3,7,1
A2021062210030175,SPA AURO,7,16,13,19,1
A2021062210030175,SPA AURO,5,7,4,10,1
A2021062210030175,HAE FLAV,6,15,13,17,1
A2021062210030175,CHA CAPI,3,11,10,11,1
A2021062211030432,SPA AURO,3,16,15,19,1
A2021062211030432,HAE FLAV,38,17,16,19,1
A2021062211030432,HAL GARN,2,,11,12,2
A2021062211030432,BAL VETU,1,31,,,2
A2021062211030432,EPI GUTT,1,28,,,3
A2021062211080163,HAL GARN,4,4,4,4,1
A2021062211080163,HAL GARN,1,13,,,1
A2021062211080163,EPI GUTT,1,12,,,2
A2021062211080163,SPA AURO,1,16,,,2
A2021062213030163,SPA AURO,7,13,12,16,1
A2021062213030163,SPA AURO,3,21,18,22,1
A2021062213030163,EPI GUTT,1,21,,,1
A2021062213030163,BAL VETU,2,,26,30,1
A2021062213030163,HAL GARN,7,3,3,3,1
A2021062213030163,HAL GARN,1,10,,,1
A2021062213030163,CHA CAPI,2,,8,9,1
A2021062212570432,CHA CAPI,2,,9,10,1
A2021062212570432,SPA AURO,2,,15,17,1
A2021062212570432,HAL GARN,4,4,3,8,2
A2021062214160163,HAL GARN,5,11,10,13,1
A2021062214160163,HAL RADI,1,9,,,1
A2021062214160163,HAE FLAV,1,18,,,1
A2021062214160163,SPA AURO,4,4,4,5,1
A2021062214160163,SPA AURO,3,14,12,15,1
A2021062211580175,HAE FLAV,4,14,12,16,1
A2021062211580175,HAL GARN,12,8,6,10,1
A2021062211580175,HAL GARN,5,4,3,5,1
A2021062211580175,SPA AURO,4,17,13,20,1
A2021062211580175,SPA AURO,8,8,6,11,1
A2021062211580175,CHA CAPI,4,10,9,11,1
A2021062211580175,BAL VETU,1,25,,,1
A2021062214450175,HAL GARN,5,9,7,11,1
A2021062214450175,HAL GARN,5,4,3,5,1
A2021062214450175,HAE FLAV,3,15,14,16,1
A2021062214450175,SPA AURO,1,22,,,1
A2021062214450175,SPA AURO,3,14,10,17,1
A2021062214450175,SPA AURO,7,6,4,8,1
A2021062214450175,ABU SAXA,1,10,,,1
A2021062214450175,EPI GUTT,2,,11,27,1
A2021062109480471,SPA AURO,4,16,12,20,1
A2021062109480471,CHA CAPI,4,7,6,8,1
A2021062109480471,HAE FLAV,2,,13,13,2
A2021062109480471,ABU SAXA,1,8,,,3
A2021062109480388,HAL GARN,17,5,3,7,1
A2021062109480388,HAL GARN,6,10,8,13,1
A2021062109480388,SPA AURO,4,10,8,11,1
A2021062109480388,SPA AURO,13,6,4,7,1
A2021062109480388,HAE FLAV,6,14,12,15,1
A2021062111000471,HAL GARN,30,2,2,4,1
A2021062111000471,SPA AURO,3,19,17,20,2
A2021062111000471,CHA CAPI,2,,6,8,2
A2021062111000471,HAE FLAV,1,12,,,3
A2021062215290066,HAL GARN,1,8,,,1
A2021062111000388,HAE FLAV,7,14,12,16,1
A2021062111000388,CHA CAPI,2,,9,10,1
A2021062111000388,HAL GARN,12,5,2,6,1
A2021062111000388,HAL GARN,9,11,9,14,1
A2021062111000388,SPA AURO,6,22,20,25,1
A2021062111000388,SPA AURO,9,10,9,14,1
A2021062314390066,HAL GARN,8,7,6,8,1
A2021062314390066,EPI GUTT,1,19,,,2
A2021062314390066,SPA AURO,1,4,,,2
A2021062311500066,HAL GARN,3,5,5,5,1
A2021062311500066,BAL VETU,2,,20,26,1
A2021062311500066,BAL VETU,2,,30,38,1
A2021062311500066,SPA AURO,4,20,15,25,1
A2021062311500066,HAE FLAV,1,16,,,1
A2021062410200175,HAL GARN,15,7,5,9,1
A2021062410200175,HAL GARN,8,3,2,4,1
A2021062410200175,BAL VETU,3,36,33,40,1
A2021062410200175,BAL VETU,1,29,,,1
A2021062410200175,SPA AURO,4,11,9,13,1
A2021062410200175,SPA AURO,5,5,4,6,1
A2021062410200175,EPI GUTT,1,27,,,1
A2021062412030175,BAL VETU,3,31,28,33,1
A2021062412030175,BAL VETU,1,26,,,1
A2021062412030175,SPA AURO,8,17,13,21,1
A2021062412030175,SPA AURO,12,7,5,10,1
A2021062412030175,HAE FLAV,1,15,,,1
A2021062412030175,HAL GARN,8,7,5,10,1
A2021062412030175,HAL GARN,6,3,3,4,1
A2021062412030175,CHA CAPI,3,10,9,11,1
A2021062414320175,HAL GARN,6,10,8,12,1
A2021062414320175,HAL GARN,10,5,3,7,1
A2021062414320175,SPA AURO,3,17,14,21,1
A2021062414320175,SPA AURO,10,7,5,11,1
A2021062414320175,ANI VIRG,1,22,,,1
A2021062210180388,HAL GARN,8,6,5,8,1
A2021062210180388,HAL GARN,3,10,9,11,1
A2021062210180388,SPA AURO,1,12,,,1
A2021062210180388,SPA AURO,5,6,5,8,1
A2021062210180388,BAL VETU,1,25,,,1
A2021062210180388,EPI GUTT,1,20,,,1
A2021062211140388,ABU SAXA,13,10,9,13,1
A2021062211140388,HAL GARN,4,8,6,9,2
A2021062211140388,SPA AURO,3,11,10,12,3
A2021062310030388,HAL GARN,6,5,3,7,1
A2021062310030388,BAL VETU,1,13,,,1
A2021062310030388,BAL VETU,3,25,24,30,1
A2021062310030388,CHA CAPI,5,9,6,10,1
A2021062310030388,SPA AURO,7,12,10,14,1
A2021062310030388,HAL GARN,3,10,9,14,1
A2021062310030388,SPA AURO,3,3,2,4,1
A2021062310540388,SPA AURO,1,22,,,1
A2021062310540388,SPA AURO,1,16,,,1
A2021062310540388,SPA AURO,1,10,,,1
A2021062310540388,HAL GARN,7,8,5,10,1
A2021062310540388,EPI GUTT,1,23,,,3
A2021062412000066,HAL GARN,12,5,4,10,1
A2021062412000066,EPI GUTT,2,,18,22,1
A2021062412000066,SPA AURO,5,15,15,15,1
A2021062411040066,BAL VETU,2,,20,25,1
A2021062411040066,BAL VETU,2,,29,32,1
A2021062411040066,HAL GARN,5,6,3,12,1
A2021062411040066,EPI GUTT,2,,12,20,1
A2021062411040066,SPA AURO,3,15,15,21,1
A2021062415150066,SPA AURO,1,3,,,2
A2021062313360388,HAE FLAV,15,14,12,17,1
A2021062313360388,ABU SAXA,12,12,9,14,1
A2021062313360388,SPA AURO,2,,3,4,1
A2021062313360388,SPA AURO,1,14,,,1
A2021062313360388,HAL RADI,1,12,,,2
A2021062413000066,HAL GARN,6,4,4,10,1
A2021062413000066,SPA AURO,4,15,10,23,1
A2021062413000066,HAL RADI,1,4,,,1
A2021062413000066,EPI GUTT,1,25,,,1
A2021062409460163,EPI GUTT,1,14,,,1
A2021062409460163,HAL GARN,8,3,3,4,1
A2021062409460163,HAL GARN,1,11,,,1
A2021062409460163,BAL VETU,1,28,,,1
A2021062510430163,SPA AURO,4,20,20,21,1
A2021062510430163,HAL RADI,1,7,,,2
A2021062511440163,HAL RADI,1,8,,,1
A2021062511440163,SPA AURO,5,20,18,23,1
A2021062511440163,HAE FLAV,2,,17,18,1
A2021062511440163,CHA CAPI,2,,10,11,2
A2021062512470163,CHA CAPI,2,,10,11,1
A2021062512470163,SPA AURO,6,15,14,21,1
A2021062512470163,HAL RADI,2,,10,15,1
A2021062512470163,ABU SAXA,2,,4,10,1
A2021062514510163,HAE FLAV,5,13,13,14,1
A2021062514510163,SPA AURO,2,,6,12,1
A2021062514510163,HAL GARN,2,,3,3,1
A2021062514510163,HAL GARN,1,13,,,1
A2021062514510163,HAL RADI,1,7,,,1
A2021062212190066,HAL GARN,2,,16,16,1
A2021062212190066,SPA AURO,3,3,3,23,1
A2021062212190066,HAL GARN,1,4,,,1
A2021062212190066,CHA CAPI,1,8,,,2
A2021062212190066,HAE FLAV,1,15,,,3
A2021062313310066,HAL RADI,3,4,4,12,1
A2021062313310066,HAE FLAV,4,15,15,15,1
A2021062313310066,ABU SAXA,2,,10,10,2
A2021062313310066,ANI VIRG,1,19,,,1
A2021061815220364,HAL GARN,2,,7,9,1
A2021061815220364,SPA AURO,6,10,8,12,1
A2021061815220364,SPA AURO,4,18,18,20,1
A2021061815220364,HAE FLAV,59,16,14,16,1
A2021061815220364,CHA CAPI,2,,5,5,1
A2021061815220364,EPI GUTT,2,,24,24,3
A2021061412320364,HAL GARN,4,4,4,8,1
A2021061412320364,HAE FLAV,1,15,,,1
A2021061412320364,SPA AURO,2,,15,18,1
A2021061412320364,SPA AURO,5,5,5,7,1
A2021061412320364,CHA CAPI,1,5,,,1
A2021061512500364,EPI GUTT,1,23,,,1
A2021061512500364,SPA AURO,2,,12,12,1
A2021061512500364,HAL GARN,4,5,4,5,1
A2021061512500364,HAL GARN,2,,6,8,1
A2021061512500364,CHA CAPI,2,,6,7,1
A2021061510530364,SPA AURO,2,,6,6,1
A2021061510530364,SPA AURO,2,,12,12,1
A2021061510530364,EPI GUTT,2,,15,26,1
A2021061510530364,HAL GARN,8,3,3,4,1
A2021061510530364,HAL GARN,6,5,5,6,1
A2021061510530364,HAE FLAV,1,12,,,1
A2021061510530364,CHA CAPI,2,,6,6,1
A2021062413420465,EPI GUTT,1,26,,,1
A2021062413420465,SPA AURO,6,25,16,25,1
A2021062413420465,SPA AURO,6,6,4,10,1
A2021062413420465,HAL RADI,2,,6,10,1
A2021062413420465,CHA CAPI,1,12,,,1
A2021062413420465,HAE FLAV,1,17,,,1
A2021062413420465,HAL GARN,5,4,4,10,2
A2021062413420465,HAL GARN,1,17,,,2
A2021062514040465,SPA AURO,3,3,3,7,1
A2021062514040465,SPA AURO,2,,14,14,1
A2021062514040465,HAE FLAV,1,16,,,1
A2021062514040465,HAL GARN,1,18,,,1
A2021062514040465,HAL GARN,5,5,2,6,1
A2021062514040465,EPI GUTT,1,19,,,1
A2021062514040465,CHA CAPI,2,,13,13,2
A2021062514040465,HAL RADI,1,10,,,3
A2021062512450465,ABU SAXA,4,2,2,2,1
A2021062512450465,ABU SAXA,2,,13,14,1
A2021062512450465,CHA CAPI,1,12,,,1
A2021062512450465,SPA AURO,2,,16,18,2
A2021062512450465,HAE FLAV,1,13,,,2
A2021062512450465,BAL VETU,1,25,,,3
A2021062511420465,HAE FLAV,2,,16,17,1
A2021062511420465,CHA CAPI,2,,14,14,1
A2021062511420465,SPA AURO,3,14,13,18,1
A2021062511420465,HAL GARN,3,8,8,14,1
A2021062511420465,HAL RADI,1,13,,,3
A2021061511040440,HAL GARN,1,14,,,1
A2021061511040440,CHA CAPI,1,14,,,1
A2021061511040440,BAL VETU,1,15,,,1
A2021061511040440,SPA AURO,1,19,,,2
A2021061511040440,EPI GUTT,2,,20,22,2
A2021061515380440,HAL GARN,8,6,4,7,1
A2021061515380440,ABU SAXA,1,15,,,1
A2021061515380440,SPA AURO,5,8,5,25,1
A2021061610210066,SPA AURO,6,15,12,20,1
A2021061610210066,SPA AURO,1,3,,,1
A2021061610210066,CHA CAPI,2,,8,8,1
A2021061610210066,HAL GARN,2,,4,4,1
A2021061610210066,HAE FLAV,2,,15,15,1
A2021061810470468,HAE FLAV,3,16,14,20,1
A2021061810470468,ABU SAXA,9,11,9,12,1
A2021061810470468,HAL GARN,9,6,3,15,1
A2021061810470468,SPA AURO,3,16,13,27,1
A2021061611370066,HAL GARN,6,4,4,12,1
A2021061611370066,SPA AURO,5,3,3,3,1
A2021061611370066,HAE FLAV,2,,16,16,1
A2021061611370066,SPA AURO,5,13,13,23,1
A2021061611370066,CHA CAPI,2,,8,8,2
A2021061612420066,HAL GARN,10,6,4,13,1
A2021061612420066,SPA AURO,2,,3,3,1
A2021061612420066,SPA AURO,1,25,,,1
A2021061612420066,CHA CAPI,2,,8,8,2
A2021061711110066,HAL GARN,4,4,4,8,1
A2021061711110066,SPA AURO,2,,16,23,1
A2021061711110066,CHA CAPI,2,,8,8,1
A2021061613000469,SPA AURO,4,11,10,13,1
A2021061613000469,EPI GUTT,1,23,,,1
A2021061614590469,SPA AURO,1,10,,,1
A2021061614590469,EPI GUTT,1,30,,,1
A2021061709420469,HAL GARN,18,10,4,15,1
A2021061709420469,EPI GUTT,2,,15,19,1
A2021061813060467,HAL GARN,3,7,5,8,1
A2021061813060467,EPI GUTT,1,10,,,1
A2021061813060467,SPA AURO,2,,12,15,1
A2021061813060467,SPA AURO,3,7,7,8,1
A2021061813510469,SPA AURO,6,15,7,18,1
A2021061813510469,HAE FLAV,12,15,10,18,1
A2021061813510469,HAL GARN,2,,12,15,1
A2021061813510469,CHA CAPI,2,,10,11,1
A2021061813510469,ABU SAXA,1,3,,,1
A2021061813540467,SPA AURO,8,13,9,18,1
A2021061813540467,ABU SAXA,6,7,6,7,1
A2021061810190469,BAL VETU,3,30,5,42,1
A2021061810190469,HAL GARN,3,11,7,14,1
A2021062112200471,SPA AURO,6,12,8,16,1
A2021062112200471,CHA CAPI,2,,6,7,1
A2021062112200471,HAL GARN,30,3,2,4,1
A2021062112200471,HAE FLAV,1,13,,,1
A2021062114530388,BAL VETU,1,28,,,1
A2021062114530388,HAE FLAV,4,19,18,20,1
A2021062114530388,CHA CAPI,2,,10,10,2
A2021062114530388,HAL GARN,3,13,12,15,3
A2021062114530388,SPA AURO,1,14,,,3
A2021062214170066,HAL GARN,10,4,4,4,1
A2021062214170066,SPA AURO,5,15,4,23,1
A2021062214170066,CHA CAPI,2,,8,8,2
A2021062410270163,HAL GARN,7,3,3,4,1
A2021062410270163,HAL GARN,1,11,,,1
A2021062410270163,BAL VETU,1,32,,,1
A2021062410270163,EPI GUTT,1,21,,,1
A2021062412170163,HAL GARN,38,3,3,4,1
A2021062412170163,HAL GARN,2,,10,10,1
A2021062412170163,ABU SAXA,4,12,11,12,1
A2021062412170163,HAE FLAV,7,17,16,18,1
A2021062412170163,SPA AURO,28,5,5,6,1
A2021062412170163,SPA AURO,3,12,10,14,1
A2021062412170163,CHA CAPI,1,9,,,1
A2021062412170163,EPI GUTT,2,,10,20,1
A2021062412170163,HAL RADI,1,7,,,1
A2021062413070163,SPA AURO,4,4,3,5,1
A2021062413070163,HAL GARN,6,3,3,4,1
A2021062410050388,SPA AURO,4,8,6,12,1
A2021062410050388,SPA AURO,5,15,14,18,1
A2021062410050388,HAE FLAV,4,13,12,14,1
A2021062410050388,BAL VETU,1,26,,,1
A2021062410050388,CHA CAPI,2,,9,10,1
A2021062410050388,HAL GARN,3,5,3,7,1
A2021062410050388,EPI GUTT,1,20,,,3
A2021062411030388,BAL VETU,4,25,18,28,1
A2021062411030388,HAL GARN,5,13,12,15,1
A2021062411030388,HAL GARN,10,10,8,11,1
A2021062411030388,SPA AURO,6,9,6,9,1
A2021062411030388,CHA CAPI,3,10,7,10,1
A2021062411030388,SPA AURO,4,12,10,14,1
A2021062411030388,EPI GUTT,2,,22,23,1
A2021062410060471,HAE FLAV,1,10,,,1
A2021062413490362,BAL VETU,1,42,,,1
A2021062413490362,SPA AURO,6,5,3,7,1
A2021062413490362,SPA AURO,3,14,12,18,1
A2021062412030471,HAL GARN,4,5,4,6,1
A2021062412030471,BAL VETU,1,19,,,1
A2021062412030471,SPA AURO,1,12,,,1
A2021062411190433,SPA AURO,1,12,,,1
A2021062411190433,CHA CAPI,2,,8,8,1
A2021062411190433,HAL GARN,8,3,3,13,1
A2021062411190433,HAE FLAV,5,11,9,14,1
A2021062412580471,BAL VETU,3,21,18,25,1
A2021062412580471,HAL GARN,2,,6,7,1
A2021062412580471,SPA AURO,4,14,12,15,1
A2021062408050362,SPA AURO,8,5,3,8,1
A2021062408050362,SPA AURO,3,16,13,23,1
A2021062408050362,HAE FLAV,1,22,,,1
A2021062408050362,HAL GARN,22,4,3,6,1
A2021062408050362,HAL GARN,6,12,10,13,1
A2021062408050362,EPI GUTT,1,27,,,1
A2021062408050362,CHA CAPI,3,8,6,9,1
A2021062408050362,HAL RADI,2,,8,13,1
A2021062408050362,BAL VETU,1,26,,,1
A2021062409270362,BAL VETU,1,26,,,1
A2021062409270362,HAL GARN,8,4,3,10,1
A2021062409270362,EPI GUTT,3,23,14,24,1
A2021062409270362,EPI GUTT,2,,25,27,1
A2021062409270362,SPA AURO,1,15,,,1
A2021062510320362,HAL GARN,3,13,12,14,1
A2021062510320362,HAL GARN,8,4,3,5,1
A2021062510320362,SPA AURO,5,13,12,16,1
A2021062510320362,SPA AURO,4,3,3,5,1
A2021062510320362,HAL RADI,2,,10,11,1
A2021062510320362,CHA CAPI,2,,9,10,2
A2021062510320362,HAE FLAV,2,,19,22,2
A2021062509210468,HAE FLAV,2,,14,18,1
A2021062509210468,HAL GARN,6,12,5,16,1
A2021062509210468,ABU SAXA,12,13,8,15,1
A2021062509210468,SPA AURO,9,15,12,23,1
A2021062509210468,CHA CAPI,2,,8,8,1
A2021062509210468,EPI GUTT,1,29,,,3
A2021062513020468,CHA CAPI,2,,9,10,1
A2021062513020468,HAL GARN,6,5,3,16,1
A2021062513020468,ABU SAXA,2,,10,11,1
A2021062513020468,SPA AURO,1,15,,,2
A2021062511160468,SPA AURO,4,11,8,22,1
A2021062511160468,HAL GARN,6,6,3,18,1
A2021062511160468,EPI GUTT,1,24,,,1
A2021062511160468,CHA CAPI,2,,6,14,1
A2021062413140468,BAL VETU,1,31,,,1
A2021062413140468,HAL GARN,2,,6,15,1
A2021062514040363,HAL GARN,15,9,3,12,1
A2021062514040363,SPA AURO,7,12,4,17,1
A2021062514040363,CHA CAPI,2,,3,8,1
A2021062514040363,HAL RADI,2,,7,15,1
A2021062514040363,HAE FLAV,1,16,,,3
A2021062409270432,EPI GUTT,2,,7,8,1
A2021062409270432,EPI GUTT,2,,15,31,1
A2021062409270432,SPA AURO,1,20,,,2
A2021062409270432,HAL GARN,9,5,4,9,1
A2021062411090432,CHA CAPI,2,,8,9,1
A2021062411090432,SPA AURO,4,17,16,18,1
A2021062411090432,BAL VETU,1,21,,,1
A2021062411090432,HAE FLAV,2,,16,17,1
A2021062411090432,SPA AURO,1,6,,,1
A2021062411090432,EPI GUTT,1,24,,,2
A2021062411090432,HAL GARN,3,6,5,9,2
A2021062410250465,HAL GARN,13,6,3,12,1
A2021062410250465,BAL VETU,3,23,20,30,1
A2021062410250465,SPA AURO,3,9,5,12,3
A2021062410250465,EPI GUTT,1,18,,,3
A2021062512340471,BAL VETU,1,17,,,1
A2021062413480432,SPA AURO,2,,17,18,1
A2021062413480432,HAL RADI,1,7,,,1
A2021062413480432,HAL GARN,12,6,4,10,2
A2021062510120471,CHA CAPI,2,,7,9,1
A2021062510120471,HAE FLAV,1,13,,,2
A2021062513310471,EPI GUTT,1,20,,,1
A2021062514130471,SPA AURO,1,12,,,1
A2021062514130471,BAL VETU,1,20,,,1
A2021062511120066,HAL GARN,5,6,4,12,1
A2021062511120066,SPA AURO,3,4,4,20,1
A2021062511120066,HAE FLAV,1,20,,,1
A2021062511120066,CHA CAPI,2,,8,8,1
A2021062511120066,SPA AURO,1,23,,,1
A2021062513300066,EPI GUTT,1,20,,,2
A2021061412190175,BAL VETU,3,28,26,32,1
A2021061412190175,SPA AURO,12,6,4,9,1
A2021061412190175,HAL GARN,5,3,2,4,1
A2021061412190175,EPI GUTT,1,18,,,3
A2021061414100175,SPA AURO,20,18,15,23,1
A2021061414100175,SPA AURO,6,7,5,9,1
A2021061414100175,HAL GARN,1,12,,,1
A2021061414100175,HAL GARN,5,3,3,4,1
A2021061414100175,EPI GUTT,1,21,,,1
A2021061414100175,CHA CAPI,1,9,,,1
A2021061414100175,BAL VETU,1,34,,,1
A2021061413450066,HAL GARN,3,3,3,3,1
A2021061413450066,BAL VETU,5,33,30,35,1
A2021061413450066,SPA AURO,3,3,3,3,1
A2021061411360066,SPA AURO,3,15,15,23,1
A2021061411360066,SPA AURO,3,3,3,3,1
A2021061411360066,HAL GARN,6,6,4,10,1
A2021061411360066,CHA CAPI,2,,10,11,1
A2021061411360066,EPI GUTT,1,19,,,2
A2021061411360066,BAL VETU,1,31,,,2
A2021061411360066,HAE FLAV,3,17,17,17,2
A2021061412320388,SPA AURO,8,10,6,10,1
A2021061412320388,SPA AURO,6,15,13,17,1
A2021061412320388,CHA CAPI,6,10,8,11,1
A2021061412320388,HAL GARN,3,12,11,14,1
A2021061412320388,HAE FLAV,4,16,15,16,1
A2021061412320388,HAL GARN,6,9,7,10,1
A2021061412320388,BAL VETU,1,23,,,3
A2021061414360388,HAL GARN,4,2,1,4,1
A2021061414360388,HAL GARN,7,10,7,11,1
A2021061414360388,HAL GARN,9,13,12,14,1
A2021061414360388,SPA AURO,13,10,8,13,1
A2021061414360388,SPA AURO,20,20,18,23,1
A2021061414360388,HAE FLAV,3,15,13,16,1
A2021061414360388,CHA CAPI,6,11,10,12,1
A2021061414360388,EPI GUTT,1,23,,,2
A2021061609230443,HAL GARN,10,5,3,8,1
A2021061609230443,SPA AURO,3,10,8,12,1
A2021061609230443,EPI GUTT,2,,25,27,1
A2021061612080443,ABU SAXA,4,7,6,8,1
A2021061612080443,HAL GARN,7,5,3,7,1
A2021061612080443,SPA AURO,2,,14,15,1
A2021061612080443,HAE FLAV,1,12,,,2
A2021061614020443,HAL GARN,9,5,3,8,1
A2021061512490388,HAE FLAV,14,13,9,15,1
A2021061512490388,SPA AURO,6,11,9,14,1
A2021061512490388,HAL GARN,7,9,7,12,1
A2021061512490388,CHA CAPI,3,10,9,11,1
A2021061510520388,SPA AURO,4,18,16,20,1
A2021061510520388,SPA AURO,8,13,9,15,1
A2021061510520388,HAE FLAV,3,15,14,16,1
A2021061510520388,CHA CAPI,3,9,8,10,2
A2021061514450388,SPA AURO,7,10,9,13,1
A2021061514450388,HAL GARN,2,,12,13,2
A2021061514450388,BAL VETU,2,,20,23,2
A2021061514450388,HAL GARN,8,8,6,9,2
A2021061514450388,HAL RADI,1,18,,,3
A2021061514450388,CHA CAPI,4,9,8,10,3
A2021061711040175,HAL GARN,1,3,,,1
A2021061711040175,SPA AURO,3,3,3,5,1
A2021061711040175,BAL VETU,3,30,19,31,1
A2021061711580175,EPI GUTT,2,,20,23,1
A2021061711580175,SPA AURO,6,9,7,12,1
A2021061711580175,SPA AURO,20,4,3,6,1
